token,headword,tokenRank,headRank,tokenBand,headBand,tokenFreq,headFreq,PoS
fondly,fond,17407,3596,18k,04k,184,1486,Adv
microscopy,microscope,17408,4012,18k,05k,184,1181,Adj
biopsies,biopsy,17409,4365,18k,05k,184,991,Noun
blushing,blush,17410,4590,18k,05k,184,890,Verb
intangible,tangible,17411,4729,18k,05k,184,837,Adj
appropriated,appropriated,17412,4834,18k,05k,184,797,Adj
evaporation,evaporate,17413,5074,18k,06k,184,715,Noun
congested,congest,17414,5162,18k,06k,184,691,Verb
raked,rake,17415,5205,18k,06k,184,679,Verb
groceries,grocer,17416,5364,18k,06k,184,638,Noun
neuron,neuron,17417,5529,18k,06k,184,593,Noun
morbid,morbid,17418,5554,18k,06k,184,588,Adj
pivotal,pivot,17419,5620,18k,06k,184,575,Adj
remnant,remnant,17420,5753,18k,06k,184,542,Noun
satirical,satire,17421,5957,18k,06k,184,499,Adj
wobbly,wobble,17422,5995,18k,06k,184,492,Adj
materialise,materialize,17423,6065,18k,07k,184,480,Noun
scowled,scowl,17424,6266,18k,07k,184,448,Verb
stocky,stocky,17425,6560,18k,07k,184,408,Adj
encapsulated,encapsulate,17426,6868,18k,07k,184,369,Verb
taxonomic,taxonomy,17427,6895,18k,07k,184,366,Adj
overpowering,overpower,17428,7204,18k,08k,184,329,Verb
propriety,propriety,17429,7352,18k,08k,184,314,Noun
shale,shale,17430,7418,18k,08k,184,307,Adj
bicker,bicker,17431,7457,18k,08k,184,303,Noun
waltz,waltz,17432,7641,18k,08k,184,286,Noun
armaments,armament,17433,7665,18k,08k,184,283,Noun
seething,seethe,17434,7918,18k,08k,184,261,Adj
lice,louse,17435,8143,18k,09k,184,243,Noun
axle,axle,17436,8152,18k,09k,184,242,Noun
copious,copious,17438,8240,18k,09k,184,238,Adj
foundry,foundry,17439,8258,18k,09k,184,237,Noun
migraine,migraine,17441,8495,18k,09k,184,218,Noun
clandestine,clandestine,17442,8623,18k,09k,184,208,Adj
sundry,sundry,17443,8761,18k,09k,184,201,Adj
eaves,eave,17444,8914,18k,09k,184,191,Noun
longevity,longevity,17445,9051,18k,10k,184,184,Noun
cylindrical,cylindrical,17446,9055,18k,10k,184,184,Adj
negotiable,negotiable,17447,9062,18k,10k,184,184,Adj
mover,move,17449,141,18k,01k,183,65658,Noun
standardisation,standard,17450,518,18k,01k,183,24001,Noun
addressee,address,17451,973,18k,01k,183,12316,Noun
budgeted,budget,17452,1076,18k,02k,183,10855,Noun
sticker,stick,17453,1103,18k,02k,183,10584,Noun
defends,defend,17454,1569,18k,02k,183,6278,Verb
attachments,attach,17455,1580,18k,02k,183,6216,Noun
charmed,charm,17456,2343,18k,03k,183,3341,Noun
orally,oral,17457,2699,18k,03k,183,2565,Adv
airliner,airline,17458,2916,18k,03k,183,2218,Noun
padding,pad,17459,3088,18k,04k,183,1986,Noun
originator,originate,17460,3228,18k,04k,183,1815,Noun
queuing,queue,17461,3279,18k,04k,183,1766,Verb
mediator,mediate,17462,3361,18k,04k,183,1686,Noun
absurdly,absurd,17463,3685,18k,04k,183,1419,Adv
franchises,franchise,17464,3750,18k,04k,183,1369,Noun
shaven,shave,17465,3841,18k,04k,183,1293,Noun
pegged,peg,17466,3856,18k,04k,183,1282,Verb
degraded,degrade,17467,4439,18k,05k,183,954,Adj
pornographic,pornography,17468,4466,18k,05k,183,944,Adj
reclamation,reclaim,17470,4958,18k,05k,183,756,Noun
tractors,tractor,17471,4991,18k,05k,183,744,Noun
ripples,ripple,17472,5143,18k,06k,183,698,Noun
riddled,riddle,17473,5544,18k,06k,183,590,Adj
bashing,bash,17474,5637,18k,06k,183,571,Verb
applaud,applaud,17475,5729,18k,06k,183,547,Verb
swooped,swoop,17476,5757,18k,06k,183,541,Verb
infuriating,infuriate,17477,5938,18k,06k,183,503,Verb
godfather,godfather,17478,5969,18k,06k,183,497,Noun
viscous,viscous,17479,6327,18k,07k,183,439,Adj
impressionist,impressionist,17480,7159,18k,08k,183,334,Adj
snub,snub,17481,7362,18k,08k,183,313,Noun
allegory,allegory,17482,7365,18k,08k,183,312,Noun
veneer,veneer,17483,7777,18k,08k,183,273,Noun
constellation,constellation,17484,7837,18k,08k,183,267,Noun
pussy,puss,17486,8078,18k,09k,183,247,Noun
philharmonic,philharmonic,17487,8204,18k,09k,183,240,Noun
congenial,congenial,17488,8383,18k,09k,183,226,Adj
cryptic,cryptic,17489,8411,18k,09k,183,224,Adj
preamble,preamble,17490,8772,18k,09k,183,200,Noun
unruly,unruly,17492,8893,18k,09k,183,192,Adj
proactive,proactive,17493,8909,18k,09k,183,191,Adj
unanimity,unanimity,17494,9075,18k,10k,183,183,Noun
kingship,king,17496,492,18k,01k,182,25074,Noun
humanism,human,17497,520,18k,01k,182,23849,Noun
eaters,eat,17498,766,18k,01k,182,15888,Noun
diseased,disease,17499,1067,18k,02k,182,10952,Adj
successively,succession,17500,1648,18k,02k,182,5877,Adv
disappoint,disappoint,17501,1820,18k,02k,182,5115,Verb
summaries,summary,17502,1828,18k,02k,182,5103,Noun
controversies,controversy,17503,2003,18k,03k,182,4438,Noun
madly,mad,17504,2030,18k,03k,182,4322,Adv
uninterrupted,interrupt,17505,2425,18k,03k,182,3109,Adj
fainted,faint,17506,2473,18k,03k,182,3001,Verb
conforms,conform,17507,2561,18k,03k,182,2792,Verb
fleshy,flesh,17508,2599,18k,03k,182,2729,Adj
prospered,prosper,17509,2851,18k,03k,182,2311,Verb
screwing,screw,17510,2976,18k,03k,182,2121,Verb
conceding,concede,17511,3264,18k,04k,182,1775,Verb
configured,configure,17512,3424,18k,04k,182,1624,Verb
volts,volt,17513,3492,18k,04k,182,1565,Noun
fluctuating,fluctuate,17514,3732,18k,04k,182,1386,Noun
keyboards,keyboard,17515,3999,18k,04k,182,1194,Noun
deadlines,deadline,17516,4131,18k,05k,182,1111,Noun
annexe,annex,17517,5017,18k,06k,182,732,Noun
hawks,hawk,17518,5332,18k,06k,182,645,Noun
fanatics,fanatic,17519,5345,18k,06k,182,643,Noun
wrench,wrench,17520,5668,18k,06k,182,564,Noun
cartridges,cartridge,17521,6000,18k,06k,182,490,Noun
heartily,hearty,17522,6337,18k,07k,182,437,Adv
embalming,embalm,17523,6421,18k,07k,182,427,Verb
snoring,snore,17524,6773,18k,07k,182,379,Verb
charred,char,17525,7085,18k,08k,182,343,Verb
precondition,precondition,17527,7417,18k,08k,182,307,Noun
monograph,monograph,17528,7429,18k,08k,182,306,Noun
beaver,beaver,17529,7747,18k,08k,182,275,Noun
molluscs,mollusc,17530,7935,18k,08k,182,260,Noun
kiosk,kiosk,17531,8199,18k,09k,182,240,Noun
prologue,prologue,17532,8291,18k,09k,182,234,Noun
circumference,circumference,17533,8437,18k,09k,182,222,Noun
walkman,walkman,17534,8738,18k,09k,182,202,Noun
wont,wont,17535,8881,18k,09k,182,193,Verb
borderline,borderline,17536,8975,18k,09k,182,188,Noun
governance,governance,17538,9067,18k,10k,182,183,Noun
collagen,collagen,17539,9083,18k,10k,182,182,Noun
bereft,bereft,17540,9085,18k,10k,182,182,Adj
overly,over,17541,72,18k,01k,181,136377,Adv
basing,base,17542,294,18k,01k,181,38376,Verb
retraining,train,17543,295,18k,01k,181,38332,Verb
quickened,quick,17544,622,18k,01k,181,19628,Verb
equalised,equal,17545,668,18k,01k,181,18285,Verb
equalled,equal,17546,668,18k,01k,181,18285,Adj
tvs,television,17547,674,18k,01k,181,18123,Noun
attractively,attract,17548,820,18k,01k,181,14887,Adv
hotter,hot,17549,1145,18k,02k,181,10113,Adj
authorship,author,17550,1415,18k,02k,181,7408,Noun
symbolically,symbol,17551,1688,18k,02k,181,5672,Adv
paralleled,parallel,17552,2002,18k,03k,181,4446,Verb
frameworks,framework,17553,2091,18k,03k,181,4075,Noun
assertiveness,assert,17554,2177,18k,03k,181,3813,Noun
mortals,mortal,17555,2258,18k,03k,181,3577,Noun
crafted,craft,17556,2553,18k,03k,181,2812,Noun
praising,praise,17557,2570,18k,03k,181,2776,Verb
halting,halt,17558,2618,18k,03k,181,2709,Verb
distorting,distort,17559,2853,18k,03k,181,2309,Verb
boomed,boom,17560,2856,18k,03k,181,2307,Noun
concessionary,concession,17561,3065,18k,04k,181,2015,Adj
facilitates,facilitate,17562,3091,18k,04k,181,1984,Verb
horned,horn,17563,3106,18k,04k,181,1953,Noun
forbade,forbid,17564,3255,18k,04k,181,1787,Verb
scrapping,scrap,17565,3341,18k,04k,181,1707,Verb
exclusions,exclusion,17566,3344,18k,04k,181,1704,Noun
burglaries,burgle,17567,3530,18k,04k,181,1534,Noun
abundantly,abundant,17568,3625,18k,04k,181,1465,Adv
manoeuvring,manoeuvre,17569,3728,18k,04k,181,1388,Noun
photocopy,photocopy,17570,5169,18k,06k,181,690,Verb
appliance,appliance,17571,5255,18k,06k,181,664,Noun
impartiality,partiality,17572,5440,18k,06k,181,617,Noun
reputedly,repute,17573,5644,18k,06k,181,570,Adv
perpetuate,perpetuate,17574,5821,18k,06k,181,528,Verb
outweighed,outweigh,17575,5932,18k,06k,181,504,Verb
sneered,sneer,17576,6014,18k,07k,181,488,Verb
delusion,delude,17577,6031,18k,07k,181,485,Noun
dialectical,dialectic,17578,6484,18k,07k,181,418,Adj
expatriates,expatriate,17579,6783,18k,07k,181,378,Noun
surmounted,surmount,17580,6839,18k,07k,181,373,Verb
cedar,cedar,17581,8117,18k,09k,181,244,Noun
weighty,weighty,17583,8388,18k,09k,181,226,Adj
conduit,conduit,17584,8513,18k,09k,181,217,Noun
khaki,khaki,17585,9032,18k,10k,181,185,Noun
pernicious,pernicious,17586,9058,18k,10k,181,184,Adj
limbo,limbo,17588,9103,18k,10k,181,181,Noun
fruition,fruition,17589,9110,18k,10k,181,181,Noun
posterity,posterity,17590,9115,18k,10k,181,181,Noun
pts,part,17591,109,18k,01k,180,78816,Noun
banked,bank,17592,430,18k,01k,180,28750,Noun
endanger,danger,17593,833,18k,01k,180,14555,Verb
unforgettable,forget,17594,935,18k,01k,180,12709,Adj
confers,confer,17595,948,18k,01k,180,12573,Verb
dutifully,duty,17596,971,18k,01k,180,12329,Adv
correctness,correct,17597,998,18k,01k,180,11936,Noun
spiritually,spirit,17598,1012,18k,02k,180,11605,Adv
democratically,democrat,17599,1174,18k,02k,180,9762,Adv
academically,academy,17600,1413,18k,02k,180,7419,Adv
crowding,crowd,17601,1454,18k,02k,180,7074,Noun
gentler,gentle,17602,1466,18k,02k,180,6993,Adj
isolating,isolate,17603,1730,18k,02k,180,5499,Verb
maturation,mature,17604,1963,18k,02k,180,4577,Noun
robbing,rob,17605,2239,18k,03k,180,3627,Verb
wraps,wrap,17606,2338,18k,03k,180,3351,Verb
therapies,therapy,17607,2470,18k,03k,180,3006,Noun
diminution,diminish,17608,3026,18k,04k,180,2064,Noun
plurality,plural,17609,3481,18k,04k,180,1575,Noun
weeding,weed,17610,3645,18k,04k,180,1445,Noun
sobs,sob,17611,4473,18k,05k,180,940,Noun
rimmed,rim,17612,4565,18k,05k,180,903,Verb
retort,retort,17613,4868,18k,05k,180,788,Noun
socialisation,socialise,17614,4876,18k,05k,180,784,Noun
gutters,gutter,17615,5155,18k,06k,180,693,Noun
hurricanes,hurricane,17616,5182,18k,06k,180,685,Noun
crows,crow,17617,5316,18k,06k,180,648,Verb
ponder,ponder,17618,5365,18k,06k,180,638,Verb
rouse,rouse,17619,5493,18k,06k,180,603,Verb
zealous,zeal,17620,5765,18k,06k,180,540,Adj
kittens,kitten,17621,6400,18k,07k,180,430,Noun
transcribed,transcribe,17622,7131,18k,08k,180,337,Verb
lobe,lobe,17623,7461,18k,08k,180,303,Noun
stretcher,stretcher,17624,7682,18k,08k,180,281,Noun
tattered,tatter,17625,7704,18k,08k,180,279,Adj
undulating,undulate,17626,7857,18k,08k,180,266,Adj
tot,tot,17627,8113,18k,09k,180,245,Noun
orgasm,orgasm,17628,8134,18k,09k,180,243,Noun
senile,senile,17630,8360,18k,09k,180,229,Noun
envious,envious,17631,8428,18k,09k,180,223,Adj
flak,flak,17632,8429,18k,09k,180,223,Noun
forthright,forthright,17633,8782,18k,09k,180,199,Adj
flustered,fluster,17634,8967,18k,09k,180,189,Verb
gruesome,gruesome,17635,9010,18k,10k,180,186,Adj
cellulose,cellulose,17636,9061,18k,10k,180,184,Noun
epitome,epitome,17637,9088,18k,10k,180,182,Noun
aft,aft,17639,9121,18k,10k,180,180,Noun
starboard,starboard,17640,9127,18k,10k,180,180,Noun
unscathed,unscathed,17641,9129,18k,10k,180,180,Adj
renewing,new,17643,73,18k,01k,179,133652,Verb
interpretative,interpret,17644,1053,18k,02k,179,11120,Adj
stabilise,stable,17645,1339,18k,02k,179,8103,Verb
depositors,deposit,17646,1822,18k,02k,179,5109,Noun
revising,revise,17647,2229,18k,03k,179,3649,Verb
remoteness,remote,17648,2238,18k,03k,179,3628,Noun
supremely,supreme,17649,2289,18k,03k,179,3490,Adv
liberating,liberate,17650,2644,18k,03k,179,2660,Adj
fatally,fatal,17651,3131,18k,04k,179,1918,Adv
regimental,regiment,17652,3285,18k,04k,179,1762,Adj
whistles,whistle,17653,3379,18k,04k,179,1667,Noun
rehearse,rehearse,17654,3397,18k,04k,179,1645,Verb
weariness,weary,17655,3585,18k,04k,179,1495,Noun
racked,rack,17656,3688,18k,04k,179,1418,Noun
unambiguously,ambiguous,17657,3765,18k,04k,179,1361,Adv
spoons,spoon,17658,3858,18k,04k,179,1281,Noun
balconies,balcony,17659,4148,18k,05k,179,1101,Noun
quarrels,quarrel,17660,4240,18k,05k,179,1058,Noun
puffing,puff,17661,4340,18k,05k,179,1003,Noun
aristocrats,aristocrat,17662,4728,18k,05k,179,838,Noun
towed,tow,17663,4730,18k,05k,179,837,Verb
assimilate,assimilate,17664,4892,18k,05k,179,778,Verb
rumbling,rumble,17665,5284,18k,06k,179,657,Verb
evicted,evict,17666,5738,18k,06k,179,546,Verb
carcinomas,carcinoma,17667,5910,18k,06k,179,509,Irr
soundly,soundly,17668,6155,18k,07k,179,465,Adv
abbreviated,abbreviate,17669,6366,18k,07k,179,434,Adj
twinkle,twinkle,17670,6514,18k,07k,179,413,Noun
unravel,unravel,17671,6583,18k,07k,179,405,Verb
nappy,nappy,17672,6633,18k,07k,179,399,Adj
sooty,soot,17673,6720,18k,07k,179,386,Noun
belated,belated,17674,6769,18k,07k,179,380,Adj
bailiff,bailiff,17675,7039,18k,08k,179,348,Noun
braid,braid,17676,7248,18k,08k,179,325,Noun
thrift,thrift,17677,7317,18k,08k,179,318,Noun
autograph,autograph,17678,7651,18k,08k,179,284,Verb
judicious,judicious,17679,7697,18k,08k,179,280,Adj
supple,supple,17680,7856,18k,08k,179,266,Noun
wholeheartedly,wholehearted,17681,7906,18k,08k,179,262,Adv
flue,flue,17682,8226,18k,09k,179,239,Noun
panda,panda,17683,8267,18k,09k,179,236,Noun
stuffy,stuffy,17684,8666,18k,09k,179,206,Noun
zest,zest,17685,8894,18k,09k,179,192,Noun
silica,silica,17686,9116,18k,10k,179,181,Noun
secondhand,secondhand,17687,9143,18k,10k,179,179,Noun
defunct,defunct,17688,9148,18k,10k,179,179,Adj
limitless,limit,17690,407,18k,01k,178,29844,Adj
labor,labour,17691,412,18k,01k,178,29745,Noun
hardening,hard,17692,422,18k,01k,178,29355,Verb
unprotected,protect,17693,618,18k,01k,178,19789,Adj
rediscovered,discover,17694,841,18k,01k,178,14405,Verb
mined,miner,17695,1645,18k,02k,178,5908,Pron
rivalries,rival,17696,1823,18k,02k,178,5109,Noun
hosting,host,17697,1876,18k,02k,178,4888,Verb
mathematically,mathematics,17698,1922,18k,02k,178,4727,Adv
architectures,architecture,17699,2023,18k,03k,178,4346,Noun
cheery,cheer,17700,2039,18k,03k,178,4293,Adj
foolishly,fool,17701,2098,18k,03k,178,4052,Adv
rescuing,rescue,17702,2251,18k,03k,178,3593,Verb
graduating,graduate,17703,2378,18k,03k,178,3236,Verb
diagnoses,diagnosis,17704,3128,18k,04k,178,1919,Noun
classifying,classify,17705,3130,18k,04k,178,1918,Verb
tucking,tuck,17706,3430,18k,04k,178,1618,Verb
volt,volt,17707,3492,18k,04k,178,1565,Noun
furry,fur,17708,3509,18k,04k,178,1549,Adj
shyness,shy,17709,3518,18k,04k,178,1544,Noun
displace,displace,17710,3761,18k,04k,178,1365,Verb
swapping,swap,17711,4021,18k,05k,178,1177,Verb
dissenters,dissent,17712,4226,18k,05k,178,1065,Noun
tiers,tier,17713,4302,18k,05k,178,1026,Noun
orphanage,orphan,17714,5068,18k,06k,178,716,Noun
radiators,radiator,17715,5313,18k,06k,178,649,Noun
thrash,thrash,17716,5346,18k,06k,178,643,Verb
grocer,grocer,17717,5364,18k,06k,178,638,Noun
caressing,caress,17718,5427,18k,06k,178,620,Verb
unilaterally,unilateral,17719,5586,18k,06k,178,583,Adv
choreographer,choreograph,17720,5601,18k,06k,178,579,Noun
shrieked,shriek,17721,5631,18k,06k,178,573,Verb
roaming,roam,17722,5654,18k,06k,178,566,Verb
grieve,grieve,17723,5695,18k,06k,178,555,Verb
concurrently,concurrent,17724,5732,18k,06k,178,547,Adv
dwindled,dwindle,17725,6041,18k,07k,178,484,Verb
crackling,crackle,17726,6261,18k,07k,178,448,Noun
rebates,rebate,17727,6533,18k,07k,178,411,Noun
sonnets,sonnet,17728,6714,18k,07k,178,387,Noun
dislocation,dislocate,17729,6744,18k,07k,178,383,Noun
smothered,smother,17730,6961,18k,07k,178,359,Verb
fervent,fervent,17731,6985,18k,07k,178,355,Adj
toil,toil,17732,7052,18k,08k,178,347,Verb
lenient,lenient,17734,7385,18k,08k,178,310,Adj
disquiet,disquiet,17736,7780,18k,08k,178,273,Noun
brothel,brothel,17737,7899,18k,08k,178,262,Noun
cossacks,cossack,17738,7931,18k,08k,178,260,Noun
alderman,alderman,17739,8187,18k,09k,178,241,Noun
domesticated,domesticate,17740,8289,18k,09k,178,234,Verb
guarantor,guarantor,17741,8389,18k,09k,178,226,Noun
duet,duet,17742,8442,18k,09k,178,221,Noun
plaza,plaza,17746,8954,18k,09k,178,189,Noun
anew,anew,17747,9155,18k,10k,178,178,Adv
diminutive,diminutive,17748,9159,18k,10k,178,178,Adj
mislead,lead,17749,131,18k,01k,177,68842,Verb
mindedness,mind,17750,356,18k,01k,177,33146,Noun
royalist,royal,17751,757,18k,01k,177,16108,Noun
extremist,extreme,17752,1009,18k,02k,177,11705,Noun
electrician,electric,17753,1114,18k,02k,177,10436,Noun
majorities,majority,17754,1150,18k,02k,177,10029,Noun
pooled,pool,17755,1602,18k,02k,177,6112,Noun
swims,swim,17756,1790,18k,02k,177,5247,Verb
harmed,harm,17757,1874,18k,02k,177,4905,Verb
graduation,graduate,17758,2378,18k,03k,177,3236,Noun
knighted,knight,17759,2860,18k,03k,177,2300,Verb
homo,homosexual,17760,3143,18k,04k,177,1902,Noun
stalled,stall,17761,3183,18k,04k,177,1852,Verb
incurring,incur,17762,3312,18k,04k,177,1741,Verb
flanking,flank,17763,3561,18k,04k,177,1508,Verb
forked,fork,17764,3854,18k,04k,177,1285,Noun
enact,enact,17765,3895,18k,04k,177,1260,Verb
hopped,hop,17766,3924,18k,04k,177,1242,Verb
disgraced,disgrace,17767,4317,18k,05k,177,1016,Verb
boycotted,boycott,17768,4561,18k,05k,177,904,Verb
empowerment,empower,17769,4828,18k,05k,177,800,Noun
silicone,silicon,17770,4839,18k,05k,177,795,Noun
writs,writ,17771,5041,18k,06k,177,725,Noun
persecuted,persecute,17772,5093,18k,06k,177,712,Verb
trumpets,trumpet,17773,5147,18k,06k,177,695,Verb
mower,mow,17774,5803,18k,06k,177,532,Noun
erase,erase,17775,6096,18k,07k,177,475,Verb
rustling,rustle,17776,6168,18k,07k,177,463,Noun
desolation,desolate,17777,6171,18k,07k,177,463,Noun
notch,notch,17778,6408,18k,07k,177,428,Noun
capsules,capsule,17779,6622,18k,07k,177,400,Noun
disparities,disparity,17780,6643,18k,07k,177,397,Noun
cracker,cracker,17781,6903,18k,07k,177,364,Noun
fervently,fervent,17782,6985,18k,07k,177,355,Adv
mutilated,mutilate,17783,7033,18k,08k,177,348,Verb
wreath,wreath,17784,7035,18k,08k,177,348,Noun
geophysical,geophysics,17785,7290,18k,08k,177,321,Adj
stratosphere,stratosphere,17786,7762,18k,08k,177,274,Noun
fairway,fairway,17787,7793,18k,08k,177,271,Noun
annuity,annuity,17788,8175,18k,09k,177,241,Noun
sash,sash,17789,8542,18k,09k,177,215,Noun
credence,credence,17790,9175,18k,10k,177,177,Noun
populace,populace,17791,9176,18k,10k,177,177,Noun
restructured,structure,17792,485,18k,01k,176,25425,Verb
hundredth,hundred,17793,542,18k,01k,176,22978,Adj
characterization,character,17794,778,18k,01k,176,15642,Irr
stoned,stone,17795,959,18k,01k,176,12449,Noun
browns,brown,17796,1160,18k,02k,176,9958,Adj
entitlements,entitle,17797,1595,18k,02k,176,6136,Noun
opposites,opposite,17798,1624,18k,02k,176,5995,Adj
breathlessly,breath,17799,1666,18k,02k,176,5790,Adv
mathematician,mathematics,17800,1922,18k,02k,176,4727,Noun
toughness,tough,17801,2004,18k,03k,176,4437,Noun
inserts,insert,17802,2627,18k,03k,176,2694,Verb
grained,grain,17803,2643,18k,03k,176,2660,Noun
recycle,recycle,17804,3238,18k,04k,176,1805,Verb
solos,solo,17805,3322,18k,04k,176,1734,Noun
dissolving,dissolve,17806,3369,18k,04k,176,1678,Verb
mists,mist,17807,3393,18k,04k,176,1650,Noun
toxicity,toxic,17808,3568,18k,04k,176,1505,Noun
groaning,groan,17809,4089,18k,05k,176,1136,Verb
cloned,clone,17810,4141,18k,05k,176,1105,Verb
conqueror,conquer,17811,4248,18k,05k,176,1054,Noun
soothe,soothe,17812,4680,18k,05k,176,857,Verb
combed,comb,17813,4720,18k,05k,176,841,Verb
necessitate,necessitate,17814,5077,18k,06k,176,715,Verb
fanatic,fanatic,17815,5345,18k,06k,176,643,Adj
conjure,conjure,17816,5374,18k,06k,176,636,Verb
gratification,gratify,17817,5718,18k,06k,176,550,Noun
tb,tuberculosis,17818,5723,18k,06k,176,549,Noun
viscosity,viscous,17819,6327,18k,07k,176,439,Noun
sirens,siren,17820,6389,18k,07k,176,431,Noun
homologous,homology,17821,6695,18k,07k,176,390,Irr
ambient,ambience,17822,6756,18k,07k,176,381,Adj
serfs,serf,17823,6776,18k,07k,176,379,Noun
conifers,conifer,17824,6878,18k,07k,176,368,Noun
puncture,puncture,17825,6987,18k,07k,176,355,Noun
attested,attest,17826,7121,18k,08k,176,338,Verb
proficiency,proficient,17827,7455,18k,08k,176,303,Noun
skinhead,skinhead,17828,7465,18k,08k,176,303,Noun
aerosol,aerosol,17829,7507,18k,08k,176,299,Noun
winch,winch,17830,7518,18k,08k,176,298,Noun
interdependent,interdependent,17831,8563,18k,09k,176,213,Adj
phoney,phony,17832,8729,18k,09k,176,202,Adj
cleft,cleft,17833,8797,18k,09k,176,198,Noun
inept,inept,17834,8849,18k,09k,176,195,Adj
noxious,noxious,17837,9198,18k,10k,176,176,Adj
spontaneity,spontaneity,17838,9202,18k,10k,176,176,Noun
spectroscopy,spectroscopy,17839,9205,18k,10k,176,176,Adj
backers,back,17842,86,18k,01k,175,109779,Noun
centrality,centre,17843,197,18k,01k,175,53625,Noun
analyser,analyse,17844,641,18k,01k,175,19057,Noun
determinism,determine,17845,661,18k,01k,175,18416,Noun
functionally,function,17846,680,18k,01k,175,17991,Adv
resettlement,settle,17847,827,18k,01k,175,14732,Noun
leggings,leg,17848,970,18k,01k,175,12341,Noun
hangers,hang,17849,1092,18k,02k,175,10660,Noun
insufficiently,sufficient,17850,1139,18k,02k,175,10173,Adv
unlock,lock,17851,1390,18k,02k,175,7700,Verb
unconstitutional,constitution,17852,1401,18k,02k,175,7543,Adj
delightfully,delight,17853,1536,18k,02k,175,6436,Adv
tensed,tense,17854,1655,18k,02k,175,5853,Verb
summarises,summary,17855,1828,18k,02k,175,5103,Verb
guesses,guess,17856,1952,18k,02k,175,4621,Noun
pitching,pitch,17857,1997,18k,02k,175,4459,Verb
objectionable,objected,17858,2118,18k,03k,175,3972,Adj
constrain,constrain,17859,2208,18k,03k,175,3726,Verb
fertilizers,fertile,17860,2277,18k,03k,175,3517,Noun
neutralisation,neutral,17861,2538,18k,03k,175,2848,Noun
conformation,conform,17862,2561,18k,03k,175,2792,Noun
virtuous,virtue,17863,2595,18k,03k,175,2732,Adj
cures,cure,17864,2680,18k,03k,175,2589,Noun
elaborately,elaborate,17865,2734,18k,03k,175,2510,Adv
enveloped,envelope,17866,3025,18k,04k,175,2064,Verb
upgrades,upgrade,17867,3490,18k,04k,175,1566,Verb
defying,defy,17868,3593,18k,04k,175,1488,Verb
aches,ache,17869,3758,18k,04k,175,1366,Noun
gliders,glide,17870,3794,18k,04k,175,1330,Noun
invoking,invoke,17871,4132,18k,05k,175,1111,Verb
darting,dart,17872,4164,18k,05k,175,1096,Verb
mysticism,mystic,17873,4180,18k,05k,175,1087,Noun
diversify,diversify,17874,4635,18k,05k,175,874,Verb
glossary,gloss,17875,4830,18k,05k,175,799,Adj
rinsed,rinse,17876,5466,18k,06k,175,611,Verb
pigments,pigment,17877,5983,18k,06k,175,494,Noun
furnaces,furnace,17878,6103,18k,07k,175,474,Noun
whisked,whisk,17879,6131,18k,07k,175,469,Verb
whining,whine,17880,6256,18k,07k,175,449,Verb
cubism,cubism,17881,6579,18k,07k,175,406,Noun
eels,eel,17882,6663,18k,07k,175,394,Noun
painstakingly,painstaking,17883,6820,18k,07k,175,375,Adv
sidelines,sideline,17884,6939,18k,07k,175,360,Noun
trampled,trample,17885,6988,18k,07k,175,355,Verb
irradiation,irradiate,17886,7442,18k,08k,175,305,Irr
vacated,vacate,17887,7991,18k,08k,175,255,Verb
buzzard,buzzard,17888,8049,18k,09k,175,250,Noun
keel,keel,17889,8067,18k,09k,175,248,Noun
easel,easel,17890,8380,18k,09k,175,226,Noun
goggles,goggle,17892,8617,18k,09k,175,209,Noun
extravagance,extravagance,17893,8728,18k,09k,175,202,Noun
petrified,petrify,17894,8884,18k,09k,175,193,Adj
brine,brine,17895,8990,18k,09k,175,187,Noun
hypnotic,hypnotic,17896,8995,18k,09k,175,187,Adj
demented,demented,17897,9072,18k,10k,175,183,Adj
boogie,boogie,17898,9180,18k,10k,175,177,Noun
handers,hand,17899,151,18k,01k,174,62261,Noun
carelessness,care,17900,246,18k,01k,174,43629,Noun
continuance,continue,17901,271,18k,01k,174,41032,Noun
valuing,value,17902,336,18k,01k,174,34656,Verb
mindful,mind,17903,356,18k,01k,174,33146,Adj
subsections,section,17904,489,18k,01k,174,25293,Noun
subcommittee,committee,17905,553,18k,01k,174,22439,Noun
birdies,bird,17906,1094,18k,02k,174,10648,Noun
justifications,justify,17907,1394,18k,02k,174,7654,Noun
implementations,implement,17908,1410,18k,02k,174,7452,Noun
instrumentation,instrument,17909,1496,18k,02k,174,6729,Noun
attribution,attribute,17910,1979,18k,02k,174,4530,Noun
disposals,dispose,17911,1984,18k,02k,174,4514,Noun
calmer,calm,17912,1999,18k,02k,174,4454,Noun
piped,pipe,17913,2022,18k,03k,174,4346,Noun
meats,meat,17914,2132,18k,03k,174,3924,Noun
caterers,cater,17915,2382,18k,03k,174,3217,Noun
brewed,brew,17916,2472,18k,03k,174,3004,Verb
silken,silk,17917,2527,18k,03k,174,2865,Adj
begs,beg,17918,2746,18k,03k,174,2490,Verb
refine,refine,17919,3010,18k,04k,174,2080,Verb
lumpy,lump,17920,3158,18k,04k,174,1882,Adj
chronically,chronic,17921,3174,18k,04k,174,1866,Adv
arousing,arouse,17922,3205,18k,04k,174,1832,Verb
soaps,soap,17923,3416,18k,04k,174,1634,Noun
cabins,cabin,17924,3811,18k,04k,174,1311,Noun
